model,technique,shot,cap,aspect,n,mean_latency_s,precision,recall,f1,rouge1_model,rouge2_model,rougeL_model,rouge1_oracle,rouge2_oracle,rougeL_oracle,oracle_gap_rougeL
qwen35_2b,contrastive_joint,one_shot,uncapped,challenge,100,4.830973155972315,0.17849234809707987,0.8760079365079365,0.25212459577436014,0.08200261139506024,0.03556927812444375,0.06459412201223866,0.4220026765441394,0.226199582941474,0.37142590290099414,0.3068317808887556
qwen35_2b,contrastive_joint,one_shot,uncapped,outcome,100,4.830973155972315,0.41075017160210053,0.873685064935065,0.4656489479143736,0.156962218479365,0.08069278678867059,0.12191217473832214,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.30655939519677067
qwen35_2b,contrastive_joint,one_shot,uncapped,union,100,4.830973155972315,0.4133220274133142,0.9849007038712919,0.5681321746578902,0.14461030435747238,0.07343539271825578,0.10059800527033604,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.25500536871778035
qwen35_2b,contrastive_joint,zero_shot,capped,approach,100,2.839367983391858,0.4908333333333335,0.5001360028860028,0.4774047929194986,0.2099268731829677,0.10334212855659498,0.16248751820146906,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2836909026324143
qwen35_2b,contrastive_joint,zero_shot,capped,challenge,100,2.839367983391858,0.47916666666666663,0.500015873015873,0.46036302586302547,0.23455443229093872,0.09296621960631711,0.1788505311511141,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19257537174988001
qwen35_2b,contrastive_joint,zero_shot,capped,outcome,100,2.839367983391858,0.6391666666666665,0.58643759018759,0.5822225552225548,0.2701002845461107,0.12738877565667342,0.20533803823246438,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.22313353170262828
qwen35_2b,contrastive_joint,zero_shot,capped,union,100,2.839367983391858,0.6674746087246085,0.5767507272214334,0.6088636336601684,0.2954592188448012,0.13388130647043292,0.18621165799481879,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.16939171599329772
qwen35_2b,contrastive_joint,zero_shot,uncapped,approach,100,4.006000229328055,0.2778532766353088,0.9388769841269838,0.39797953569319,0.086714675719118,0.047994069366917504,0.07056553599957759,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.3756128848343056
qwen35_2b,contrastive_joint,zero_shot,uncapped,challenge,100,4.006000229328055,0.24831117436965117,0.7604444444444447,0.319716904042803,0.11608873657736858,0.049623882214610573,0.08812436589335045,0.4220026765441394,0.226199582941474,0.37142590290099414,0.2833015370076437
qwen35_2b,contrastive_joint,zero_shot,uncapped,outcome,100,4.006000229328055,0.3955685456864709,0.8880274170274172,0.4660089926927672,0.14582954359150188,0.07368196825530662,0.11490748492801459,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.3135640850070782
qwen35_2b,contrastive_joint,zero_shot,uncapped,union,100,4.006000229328055,0.4366964298717197,0.9485693667357751,0.5819409799919188,0.1550362330364049,0.07799010989266464,0.10644236190010015,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.24916101208801622
qwen35_2b,explanation_based,one_shot,capped,approach,100,4.19535118772008,0.3783333333333332,0.38842388167388164,0.3682755757314579,0.21063401746903737,0.09994120913593953,0.16328121817456961,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.28289720265931373
qwen35_2b,explanation_based,one_shot,capped,challenge,100,4.19535118772008,0.3525,0.3340436507936508,0.3270913530913531,0.18944387945058738,0.06950534259782926,0.1408216505135419,0.4220026765441394,0.226199582941474,0.37142590290099414,0.23060425238745225
qwen35_2b,explanation_based,one_shot,capped,outcome,100,4.19535118772008,0.3375,0.3192539682539683,0.3151545676545677,0.16093547957171972,0.0683774711295398,0.11765248338347463,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.31081908655161816
qwen35_2b,explanation_based,one_shot,capped,union,100,4.19535118772008,0.7007578810078812,0.4389055729645983,0.5246781326002856,0.35701548706122,0.15277559147897934,0.2228273233900583,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.13277605059805808
qwen35_2b,explanation_based,one_shot,uncapped,approach,100,7.310890619990532,0.22303360192842267,0.946686507936508,0.33525028445940436,0.06970241114280738,0.03907923988851556,0.05759428574639679,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.38858413508748646
qwen35_2b,explanation_based,one_shot,uncapped,challenge,100,7.310890619990532,0.17415116294055066,0.7125992063492064,0.2383786146806511,0.08382899407181929,0.033369509760429635,0.06267155063189053,0.4220026765441394,0.226199582941474,0.37142590290099414,0.30875435226910375
qwen35_2b,explanation_based,one_shot,uncapped,outcome,100,7.310890619990532,0.43691934223345313,0.646582251082251,0.449409492113283,0.15443609099571837,0.07848278901814809,0.11982095023548421,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.30865061969960833
qwen35_2b,explanation_based,one_shot,uncapped,union,100,7.310890619990532,0.41982836101706694,0.9792704579132598,0.5728284003623972,0.14755675132218796,0.0750760456865904,0.10245464739971483,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.2531487265884016
qwen35_2b,explanation_based,zero_shot,capped,approach,100,1.2300678195175714,0.5458333333333334,0.5582279942279942,0.5296936037818386,0.2136201496886355,0.10856875747556248,0.16730914303284958,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.27886927780103377
qwen35_2b,explanation_based,zero_shot,capped,challenge,100,1.2300678195175714,0.47416666666666674,0.49858730158730163,0.45641785991785944,0.22998359621120187,0.08568725242878777,0.16810921898983616,0.4220026765441394,0.226199582941474,0.37142590290099414,0.2033166839111581
